"filename", "language", "JavaScript", "JSON", "SCSS", "XML", "CSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Banner4.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Banner5.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Banner6.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Banner7.js", "JavaScript", 214, 0, 0, 0, 0, 0, 0, 0, 5, 219
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Blog.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 3, 100
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Blog2.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 3, 84
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Blog3.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 3, 84
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Brand.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 11, 82
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Counter.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 3, 49
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Features.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 2, 80
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Mission.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Newsletter.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Newsletter2.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 3, 40
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Parallax.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Project.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 3, 80
